N	Time	Hours	Freq(kHz)	Amp	KK	R(km)	AntAz(grad)	AntEl(grad)	NORAD	Name
42	08:44:50.478	8.747355	156252	0.243100	0.990230	568.896616	7.431577	-1.926829	46556	STARLINK-1676
43	08:44:50.520	8.747367	156116	0.141415	0.979960	568.812745	7.511521	-1.883307	46556	STARLINK-1676
44	08:44:50.876	8.747466	156252	0.291178	0.988507	568.362772	7.477078	-1.660246	46556	STARLINK-1676
45	08:44:51.162	8.747545	156252	0.298505	0.988278	567.848302	7.463304	-1.453538	46556	STARLINK-1676
46	08:44:51.298	8.747583	156252	0.270346	0.990782	567.808803	7.417811	-1.378715	46556	STARLINK-1676
47	08:44:51.566	8.747657	156116	0.169062	0.986232	567.485672	7.431577	-1.190998	46556	STARLINK-1676
48	08:44:51.608	8.747669	156252	0.304095	0.988280	567.263423	7.449533	-1.161926	46556	STARLINK-1676
49	08:44:51.785	8.747718	156252	0.296282	0.990621	567.235849	7.404047	-1.032007	46556	STARLINK-1676
50	08:44:52.015	8.747782	156116	0.297376	0.990378	566.933931	7.397166	-0.877202	46556	STARLINK-1676
51	08:44:52.084	8.747801	156252	0.306591	0.988617	566.730914	7.428880	-0.809689	46556	STARLINK-1676
52	08:44:52.366	8.747879	156116	0.312021	0.990446	566.397182	7.383405	-0.652975	46556	STARLINK-1676
53	08:44:52.440	8.747900	156252	0.324912	0.988506	566.175857	7.415115	-0.579707	46556	STARLINK-1676
54	08:44:52.669	8.747964	156252	0.346780	0.988964	565.891060	7.408233	-0.434214	46556	STARLINK-1676
55	08:44:52.922	8.748034	156252	0.357119	0.988831	565.676800	7.394470	-0.271592	46556	STARLINK-1676
56	08:44:53.183	8.748106	156252	0.333945	0.988871	565.287363	7.387590	-0.073868	46556	STARLINK-1676
57	08:44:53.494	8.748193	156252	0.363469	0.988554	564.913821	7.373831	0.100148	46556	STARLINK-1676
58	08:44:53.703	8.748251	156252	0.326923	0.989527	564.831254	7.349013	0.244237	46556	STARLINK-1676
59	08:44:54.034	8.748343	156116	0.348873	0.989939	564.385850	7.342136	0.475464	46556	STARLINK-1676
60	08:44:54.131	8.748370	156116	0.306054	0.988628	564.263805	7.353196	0.541130	46556	STARLINK-1676
61	08:44:54.305	8.748418	156252	0.286672	0.989370	564.153063	7.328384	0.654313	46556	STARLINK-1676
62	08:44:54.662	8.748517	156116	0.370343	0.989510	563.793385	7.314634	0.904616	46556	STARLINK-1676
63	08:44:54.974	8.748604	156116	0.322256	0.989004	563.456459	7.307760	1.097429	46556	STARLINK-1676
64	08:44:55.057	8.748627	156116	0.319453	0.988828	563.215410	7.311941	1.164167	46556	STARLINK-1676
65	08:44:55.620	8.748783	156252	0.315001	0.988625	562.574437	7.291321	1.558828	46556	STARLINK-1676
66	08:44:56.105	8.748918	156116	0.335623	0.988663	562.313437	7.266527	1.902746	46556	STARLINK-1676
67	08:44:56.200	8.748944	156116	0.286424	0.988028	562.062576	7.270706	1.947187	46556	STARLINK-1676
68	08:44:56.453	8.749015	156252	0.304173	0.988323	561.769725	7.256966	2.130053	46556	STARLINK-1676
69	08:44:56.751	8.749097	156252	0.288678	0.988256	561.509703	7.243227	2.340859	46556	STARLINK-1676
70	08:44:56.950	8.749153	156116	0.288753	0.988157	561.522216	7.232182	2.475902	46556	STARLINK-1676
71	08:44:57.260	8.749239	156116	0.274837	0.987847	561.230237	7.218447	2.697475	46556	STARLINK-1676
72	08:44:57.653	8.749348	156116	0.244919	0.987145	560.870051	7.197849	3.008504	46556	STARLINK-1676
73	08:44:57.716	8.749366	156252	0.274538	0.988111	560.724236	7.208891	3.031138	46556	STARLINK-1676
74	08:44:57.969	8.749436	156252	0.277794	0.987826	560.464003	7.202025	3.208920	46556	STARLINK-1676
75	08:44:58.132	8.749481	156252	0.238441	0.985898	560.582999	7.170393	3.381914	46556	STARLINK-1676
76	08:44:58.263	8.749517	156116	0.230187	0.987072	560.248123	7.181431	3.435888	46556	STARLINK-1676
77	08:44:58.496	8.749582	156252	0.207010	0.986715	560.060454	7.174568	3.625514	46556	STARLINK-1676
78	08:44:58.660	8.749628	156116	0.216220	0.986623	560.193091	7.149807	3.743422	46556	STARLINK-1676
79	08:44:58.718	8.749644	156116	0.202490	0.987393	559.911036	7.167705	3.766523	46556	STARLINK-1676
80	08:44:58.982	8.749717	156252	0.199061	0.984346	559.920405	7.129225	3.985824	46556	STARLINK-1676
81	08:44:59.625	8.749896	156116	0.195114	0.984309	559.418706	7.101791	4.513097	46556	STARLINK-1676
82	08:45:00.230	8.750064	156116	0.148358	0.980211	559.049525	7.074365	4.993944	46556	STARLINK-1676
83	08:45:00.308	8.750086	156116	0.142459	0.983683	558.854626	7.119679	5.033976	46556	STARLINK-1676
84	08:45:00.509	8.750141	156252	0.137412	0.979730	558.877459	7.081221	5.206843	46556	STARLINK-1676
85	08:45:00.819	8.750227	156116	0.141341	0.978690	558.751289	7.040095	5.467414	46556	STARLINK-1676
86	08:45:01.114	8.750309	156116	0.129976	0.975087	558.552110	7.046948	5.709895	46556	STARLINK-1676
87	08:45:01.665	8.750462	155980	0.115524	0.972736	558.303412	6.992138	6.165693	46556	STARLINK-1676
88	08:45:01.828	8.750508	156116	0.114350	0.973342	558.215560	6.981124	6.253370	46556	STARLINK-1676
89	08:45:02.121	8.750589	155980	0.102631	0.969087	558.404808	6.974276	6.450290	46556	STARLINK-1676
90	08:45:02.350	8.750653	155980	0.093594	0.960004	558.307884	6.967429	6.655085	46556	STARLINK-1676
91	08:45:02.569	8.750714	155980	0.087354	0.955454	558.248038	6.960582	6.847214	46556	STARLINK-1676
92	08:45:02.703	8.750751	155980	0.081270	0.954323	557.920939	6.937363	6.955587	46556	STARLINK-1676
93	08:45:02.938	8.750816	156116	0.073804	0.947450	558.140923	6.946890	7.133395	46556	STARLINK-1676
94	08:45:03.037	8.750844	155980	0.072730	0.934929	557.743355	6.909989	7.247504	46556	STARLINK-1676
95	08:45:03.212	8.750892	156116	0.072730	0.936233	558.090843	6.933200	7.383087	46556	STARLINK-1676
96	08:45:03.460	8.750961	155980	0.106021	0.964823	557.667001	6.919512	7.594576	46556	STARLINK-1676
97	08:45:03.742	8.751039	155980	0.064177	0.923089	557.927674	6.905827	7.740477	46556	STARLINK-1676
98	08:45:04.010	8.751114	155980	0.052107	0.896204	557.753233	6.885302	7.908096	46556	STARLINK-1676
99	08:45:04.088	8.751136	156116	0.052303	0.893159	557.423067	6.841589	7.890533	46556	STARLINK-1676
100	08:45:04.296	8.751193	156116	0.048725	0.886548	557.668763	6.851105	8.181979	46556	STARLINK-1676
101	08:45:04.340	8.751206	155980	0.044037	0.846104	557.431058	6.814244	8.206743	46556	STARLINK-1676
102	08:45:04.886	8.751357	156116	0.042390	0.842287	557.376442	6.769086	8.610871	46556	STARLINK-1676
103	08:45:05.198	8.751444	155980	0.077846	0.944432	557.253184	6.837430	8.831219	46556	STARLINK-1676
104	08:45:05.876	8.751632	155980	0.044347	0.797577	557.046947	6.714448	9.265624	46556	STARLINK-1676
105	08:45:05.923	8.751645	155980	0.042378	0.801468	556.997815	6.732258	9.148856	46556	STARLINK-1676
106	08:45:06.198	8.751722	156116	0.040716	0.772308	556.864832	6.725430	9.344145	46556	STARLINK-1676
107	08:45:06.397	8.751777	155980	0.044633	0.779394	557.008124	6.693968	9.606148	46556	STARLINK-1676
108	08:45:06.734	8.751871	155980	0.076957	0.916951	557.051076	6.755423	9.821377	46556	STARLINK-1676
109	08:45:07.135	8.751982	155980	0.052411	0.826042	557.018021	6.673492	10.074964	46556	STARLINK-1676
110	08:45:07.422	8.752062	155980	0.055187	0.837634	556.904177	6.659844	10.248445	46556	STARLINK-1676
111	08:45:07.464	8.752073	156116	0.064670	0.880094	556.976475	6.732258	10.141996	46556	STARLINK-1676
112	08:45:07.663	8.752129	156116	0.051564	0.814319	557.033384	6.646198	10.312905	46556	STARLINK-1676
113	08:45:08.007	8.752224	155980	0.057987	0.817079	556.984927	6.632555	10.509261	46556	STARLINK-1676
